string_addr	string	ref_from	ref_func	ref_type
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D15B	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D15F	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D0B2	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D0B6	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D0CC	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D0D3	FUN_0042d070	DATA
0x9413E1	[%s] crypt/csa. low CPU speed	0x42D5BC	FUN_0042d3b0	DATA
0x941400	[%s] crypt/csa. decrypt buffer overflow	0x42E116	FUN_0042e110	DATA
0x941400	[%s] crypt/csa. decrypt buffer overflow	0x42E244	FUN_0042e110	PARAM
0x941860	[%s] mpegts/sync. pcr out of range. -%llums	0x42FE95	FUN_0042fdc0	DATA
0x941890	[%s] mpegts/sync. pcr out of range. +%llums	0x42FF43	FUN_0042fdc0	DATA
0x9418C0	[%s] mpegts/sync. buffer empty [%u%%]	0x4300EC	FUN_0042ff70	DATA
0x9418E8	[%s] mpegts/sync. PCR not found	0x4303ED	FUN_004301b0	DATA
0x941908	[%s] mpegts/sync. Select PCR pid:%u	0x430428	FUN_004301b0	DATA
0x941930	[%s] mpegts/sync. Bitrate:%uKbit/s PCR-Interval:%ums Buffer:%uKb+%uKb	0x430382	FUN_004301b0	DATA
0x941978	[%s] mpegts/sync. failed to fill buffer	0x43064A	FUN_00430500	DATA
0x941A8C	VIDEO	0x431100	FUN_004310b0	DATA
0x941A92	AUDIO	0x43111B	FUN_004310b0	DATA
0x941AB1	Simple Scalable/L1	0x431308	FUN_00431240	DATA
0x941AC4	Simple Scalable/L2	0x431300	FUN_00431240	DATA
0x941AD7	Core/L1	0x4312F8	FUN_00431240	DATA
0x941ADF	Core/L2	0x4312F0	FUN_00431240	DATA
0x941AE7	Main/L2	0x4312E8	FUN_00431240	DATA
0x941AEF	Main/L3	0x4312E0	FUN_00431240	DATA
0x941AF7	Main/L4	0x4312D8	FUN_00431240	DATA
0x941AFF	N-bit/L2	0x4312D0	FUN_00431240	DATA
0x941B08	Scalable Texture/L1	0x4312C8	FUN_00431240	DATA
0x941B1C	Simple Face Animation/L1	0x4312C0	FUN_00431240	DATA
0x941B35	Simple Face Animation/L2	0x4312B8	FUN_00431240	DATA
0x941B4E	Simple FBA/L1	0x4312B0	FUN_00431240	DATA
0x941B5C	Simple FBA/L2	0x4312A8	FUN_00431240	DATA
0x941B6A	Basic Animated Texture/L1	0x4312A0	FUN_00431240	DATA
0x941B84	Basic Animated Texture/L2	0x431298	FUN_00431240	DATA
0x941B9E	Hybrid/L1	0x431290	FUN_00431240	DATA
0x941BA8	Hybrid/L2	0x431288	FUN_00431240	DATA
0x941BB2	Advanced Real Time Simple/L1	0x431280	FUN_00431240	DATA
0x941BCF	Advanced Real Time Simple/L2	0x431278	FUN_00431240	DATA
0x941BEC	Advanced Real Time Simple/L3	0x431270	FUN_00431240	DATA
0x941C09	Advanced Real Time Simple/L4	0x431268	FUN_00431240	DATA
0x941C26	Unknown Profile/Level	0x431260	FUN_00431240	DATA
0x941C45	network_name_descriptor	0x4315F1	FUN_00431330	DATA
0x941C5D	network_name	0x43162D	FUN_00431330	DATA
0x941C5D	network_name	0x4718A0	FUN_00470f90	DATA
0x941C6A	orbital_position	0x431735	FUN_00431330	DATA
0x941C7B	polarization	0x46C8E0	FUN_0046c6f0	DATA
0x941C7B	polarization	0x472972	FUN_00470f90	DATA
0x941C7B	polarization	0x431768	FUN_00431330	DATA
0x941C88	rolloff	0x432617	FUN_00431330	DATA
0x941C90	service_type_id	0x431A26	FUN_00431330	DATA
0x941CA0	service_provider	0x483025	FUN_00482ac0	DATA
0x941CA0	service_provider	0x431A56	FUN_00431330	DATA
0x941CB1	service_name	0x483068	FUN_00482ac0	DATA
0x941CB1	service_name	0x431A98	FUN_00431330	DATA
0x941CBE	short_event_descriptor	0x431AA4	FUN_00431330	DATA
0x941CD5	event_name	0x45F943	FUN_0045f400	DATA
0x941CD5	event_name	0x431B61	FUN_00431330	DATA
0x941CE0	text_char	0x45F96B	FUN_0045f400	DATA
0x941CE0	text_char	0x431B8C	FUN_00431330	DATA
0x941CEA	extended_event_descriptor	0x431BA5	FUN_00431330	DATA
0x941D04	last_desc_num	0x431C1B	FUN_00431330	DATA
0x941D12	items	0x45F686	FUN_0045f400	DATA
0x941D12	items	0x45F998	FUN_0045f400	DATA
0x941D12	items	0x45ECCE	FUN_0045ec30	DATA
0x941D12	items	0x431EEA	FUN_00431330	DATA
0x941D12	items	0x432770	FUN_00431330	DATA
0x941D18	item_desc	0x45FF19	FUN_0045f400	DATA
0x941D18	item_desc	0x45FCD6	FUN_0045f400	DATA
0x941D18	item_desc	0x4328E6	FUN_004327c0	DATA
0x941D18	item_desc	0x432947	FUN_004327c0	PARAM
0x941D18	item_desc	0x432647	FUN_00431330	DATA
0x941D18	item_desc	0x43267B	FUN_00431330	PARAM
0x941D27	content_descriptor	0x431D90	FUN_00431330	DATA
0x941D3A	cn_l1	0x45FB43	FUN_0045f400	DATA
0x941D3A	cn_l1	0x45FB9B	FUN_0045f400	PARAM
0x941D3A	cn_l1	0x431DCA	FUN_00431330	DATA
0x941D3A	cn_l1	0x431E4A	FUN_00431330	PARAM
0x941D40	cn_l2	0x431DD1	FUN_00431330	DATA
0x941D40	cn_l2	0x431E71	FUN_00431330	PARAM
0x941D46	un_l1	0x431DD8	FUN_00431330	DATA
0x941D46	un_l1	0x431E9B	FUN_00431330	PARAM
0x941D4C	un_l2	0x431DDF	FUN_00431330	DATA
0x941D4C	un_l2	0x431EC2	FUN_00431330	PARAM
0x941D52	parental_rating_descriptor	0x431F03	FUN_00431330	DATA
0x941D6D	country	0x471625	FUN_00470f90	DATA
0x941D6D	country	0x431FF9	FUN_00431330	DATA
0x941D75	rating	0x431F5A	FUN_00431330	DATA
0x941D75	rating	0x432022	FUN_00431330	PARAM
0x941D7C	teletext_descriptor	0x43204F	FUN_00431330	DATA
0x941D90	subtitling_descriptor	0x4320D5	FUN_00431330	DATA
0x941DA6	%d MHz	0x4321C0	FUN_00431330	DATA
0x941DAD	bandwidth	0x49D436	FUN_0049d1d0	DATA
0x941DAD	bandwidth	0x493DAF	FUN_00493bf0	DATA
0x941DAD	bandwidth	0x4725F6	FUN_00470f90	DATA
0x941DAD	bandwidth	0x4321D6	FUN_00431330	DATA
0x941DB7	priority	0x47263B	FUN_00470f90	DATA
0x941DB7	priority	0x432206	FUN_00431330	DATA
0x941DC0	hierarchy	0x4726C7	FUN_00470f90	DATA
0x941DC0	hierarchy	0x432289	FUN_00431330	DATA
0x941DCA	code_rate_hp	0x4322B9	FUN_00431330	DATA
0x941DD7	code_rate_lp	0x4322E5	FUN_00431330	DATA
0x941DE4	guard_interval	0x472763	FUN_00470f90	DATA
0x941DE4	guard_interval	0x432318	FUN_00431330	DATA
0x941DF3	transmission	0x4727A8	FUN_00470f90	DATA
0x941DF3	transmission	0x432361	FUN_00431330	DATA
0x941E00	logical_channel_descriptor	0x432471	FUN_00431330	DATA
0x941E1F	network_name_raw	0x432889	FUN_004327c0	DATA
0x941E30	service_provider_raw	0x4327FD	FUN_004327c0	DATA
0x941E45	service_name_raw	0x432823	FUN_004327c0	DATA
0x941E56	event_name_raw	0x45F82D	FUN_0045f400	DATA
0x941E56	event_name_raw	0x4328A4	FUN_004327c0	DATA
0x941E65	text_char_raw	0x45F865	FUN_0045f400	DATA
0x941E65	text_char_raw	0x4328CA	FUN_004327c0	DATA
0x941E73	items_raw	0x45F744	FUN_0045f400	DATA
0x941E73	items_raw	0x432998	FUN_004327c0	DATA
0x941E7D	text_raw	0x45F77B	FUN_0045f400	DATA
0x941E7D	text_raw	0x432865	FUN_004327c0	DATA
0x941EA1	16-QAM	0xAC15E8		DATA
0x941EA1	16-QAM	0xAC1608		DATA
0x941EA1	16-QAM	0xAC1658		DATA
0x941EA8	64-QAM	0xAC15F0		DATA
0x941EA8	64-QAM	0xAC1618		DATA
0x941EB4	32-QAM	0xAC1610		DATA
0x941EBB	128-QAM	0xAC1620		DATA
0x941EC3	256-QAM	0xAC1628		DATA
0x942348	stream_id	0x431CDD	FUN_00431330	DATA
0x942348	stream_id	0x431CE7	FUN_00431330	PARAM
0x942358	... (strip)	0x43140C	FUN_00431330	READ
0x942368	type_name	0x432487	FUN_00431330	DATA
0x942368	type_name	0x432389	FUN_00431330	DATA
0x942368	type_name	0x432165	FUN_00431330	DATA
0x942368	type_name	0x4320EE	FUN_00431330	DATA
0x942368	type_name	0x432068	FUN_00431330	DATA
0x942368	type_name	0x431F17	FUN_00431330	DATA
0x942368	type_name	0x431DA9	FUN_00431330	DATA
0x942368	type_name	0x431D4E	FUN_00431330	DATA
0x942368	type_name	0x431CF7	FUN_00431330	DATA
0x942368	type_name	0x431BB9	FUN_00431330	DATA
0x942368	type_name	0x431ABD	FUN_00431330	DATA
0x942368	type_name	0x4319FC	FUN_00431330	DATA
0x942368	type_name	0x431891	FUN_00431330	DATA
0x942368	type_name	0x431655	FUN_00431330	DATA
0x942368	type_name	0x431600	FUN_00431330	DATA
0x942368	type_name	0x4313BF	FUN_00431330	DATA
0x942368	type_name	0x43156C	FUN_00431330	DATA
0x942368	type_name	0x431480	FUN_00431330	DATA
0x942380	modulation	0x432239	FUN_00431330	DATA
0x942380	modulation	0x431912	FUN_00431330	DATA
0x942380	modulation	0x4317D2	FUN_00431330	DATA
0x942390	symbolrate	0x43197C	FUN_00431330	DATA
0x942390	symbolrate	0x43183C	FUN_00431330	DATA
0x9423A0	frequency	0x43219E	FUN_00431330	DATA
0x9423A0	frequency	0x4318D5	FUN_00431330	DATA
0x9423A0	frequency	0x4316BF	FUN_00431330	DATA
0x9423B0	satellite_delivery_system_descriptor	0x431646	FUN_00431330	DATA
0x9423D8	cable_delivery_system_descriptor	0x43187D	FUN_00431330	DATA
0x942400	terrestrial_delivery_system_descriptor	0x432156	FUN_00431330	DATA
0x942428	multilingual_network_name_descriptor	0x43236D	FUN_00431330	DATA
0x942467	@scheme			
0x94246F	%s:%s	0x432E77	FUN_00432cb0	DATA
0x94246F	%s:%s	0x496374	FUN_00495e00	DATA
0x942475	WWW-Authenticate	0x435479	FUN_00435120	PARAM
0x942475	WWW-Authenticate	0xAFF1D8		DATA
0x942486	Transfer-Encoding	0x4352B0	FUN_00435120	PARAM
0x942486	Transfer-Encoding	0xAFF1E0		DATA
0x942498	Server	0xAFF1E8		DATA
0x94249F	Location	0x499941	FUN_004998d0	PARAM
0x94249F	Location	0x4353C0	FUN_00435120	PARAM
0x94249F	Location	0xAFF1F0		DATA
0x9424A8	Referer	0x49F02B	FUN_0049ee20	PARAM
0x9424A8	Referer	0x49CF8E	FUN_0049cee0	PARAM
0x9424A8	Referer	0xAFF1F8		DATA
0x9424B0	User-Agent	0x438C0D	FUN_00438a10	PARAM
0x9424B0	User-Agent	0x49EFF3	FUN_0049ee20	PARAM
0x9424B0	User-Agent	0x46E797	FUN_0046e580	PARAM
0x9424B0	User-Agent	0x46DD99	FUN_0046dcf0	PARAM
0x9424B0	User-Agent	0x46D345	FUN_0046d270	PARAM
0x9424B0	User-Agent	0x46D89F	FUN_0046d7d0	PARAM
0x9424B0	User-Agent	0x49CF56	FUN_0049cee0	PARAM
0x9424B0	User-Agent	0xAFF208		DATA
0x9424C5	Content-Type	0x438C49	FUN_00438a10	PARAM
0x9424C5	Content-Type	0x49837D	FUN_00498300	PARAM
0x9424C5	Content-Type	0x49861A	FUN_00498430	PARAM
0x9424C5	Content-Type	0x46DDC8	FUN_0046dcf0	PARAM
0x9424C5	Content-Type	0x46D381	FUN_0046d270	PARAM
0x9424C5	Content-Type	0x46D8DB	FUN_0046d7d0	PARAM
0x9424C5	Content-Type	0x4A4A5D	FUN_004a4850	PARAM
0x9424C5	Content-Type	0x4A520C	FUN_004a4f90	PARAM
0x9424C5	Content-Type	0x4996E1		PARAM
0x9424C5	Content-Type	0xAFF220		DATA
0x9424D2	Content-Length	0x499C81	FUN_00499ab0	PARAM
0x9424D2	Content-Length	0x438C2F	FUN_00438a10	PARAM
0x9424D2	Content-Length	0x4983A0	FUN_00498300	PARAM
0x9424D2	Content-Length	0x498607	FUN_00498430	PARAM
0x9424D2	Content-Length	0x46DDB5	FUN_0046dcf0	PARAM
0x9424D2	Content-Length	0x46D365	FUN_0046d270	PARAM
0x9424D2	Content-Length	0x46D8C1	FUN_0046d7d0	PARAM
0x9424D2	Content-Length	0x435344	FUN_00435120	PARAM
0x9424D2	Content-Length	0x4A4A7A	FUN_004a4850	PARAM
0x9424D2	Content-Length	0x4A522E	FUN_004a4f90	PARAM
0x9424D2	Content-Length	0x4996CE		PARAM
0x9424D2	Content-Length	0xAFF228		DATA
0x9424E1	Authorization	0x46D3D8	FUN_0046d270	PARAM
0x9424E1	Authorization	0x434CB2	FUN_00434a70	PARAM
0x9424E1	Authorization	0xAFF238		DATA
0x9424EF	Accept	0xAFF240		DATA
0x9424F6	Service Unavailable	0x496D3F	FUN_00496ce0	DATA
0x9424F6	Service Unavailable	0x496D4D	FUN_00496ce0	DATA
0x9424F6	Service Unavailable	0xAFF248		DATA
0x94250A	Bad Gateway	0x496D28	FUN_00496ce0	DATA
0x94250A	Bad Gateway	0xAFF250		DATA
0x942516	Not Implemented	0x496D8F	FUN_00496ce0	DATA
0x942516	Not Implemented	0x496D9D	FUN_00496ce0	DATA
0x942516	Not Implemented	0xAFF258		DATA
0x942526	Internal Server Error	0x496D7A	FUN_00496ce0	DATA
0x942526	Internal Server Error	0xAFF260		DATA
0x94253C	Too Many Requests	0x496DE0	FUN_00496ce0	DATA
0x94253C	Too Many Requests	0xAFF268		DATA
0x94254E	Method Not Allowed	0x496E10	FUN_00496ce0	DATA
0x94254E	Method Not Allowed	0xAFF270		DATA
0x942561	Not Found	0x496E00	FUN_00496ce0	DATA
0x942561	Not Found	0xAFF278		DATA
0x94256B	Forbidden	0x496DF0	FUN_00496ce0	DATA
0x94256B	Forbidden	0xAFF280		DATA
0x942575	Unauthorized	0x496DA8	FUN_00496ce0	DATA
0x942575	Unauthorized	0xAFF288		DATA
0x942582	Bad Request	0x496E20	FUN_00496ce0	DATA
0x942582	Bad Request	0xAFF290		DATA
0x94258E	Not Modified	0x496D0F	FUN_00496ce0	DATA
0x94258E	Not Modified	0x496D1D	FUN_00496ce0	DATA
0x94258E	Not Modified	0xAFF298		DATA
0x94259B	Moved Permanently	0x496D67	FUN_00496ce0	DATA
0x94259B	Moved Permanently	0x496D75	FUN_00496ce0	DATA
0x94259B	Moved Permanently	0xAFF2A8		DATA
0x9425C2	PATCH	0xAFF2C8		DATA
0x9425C8	TRACE	0xAFF2D0		DATA
0x9425CE	CONNECT	0xAFF2E0		DATA
0x9425D6	DELETE	0xAFF2E8		DATA
0x9425EB	Astra c8d87eba	0x438C04	FUN_00438a10	PARAM
0x9425EB	Astra c8d87eba	0x46E790	FUN_0046e580	PARAM
0x9425EB	Astra c8d87eba	0x46DD92	FUN_0046dcf0	PARAM
0x9425EB	Astra c8d87eba	0x46D33C	FUN_0046d270	PARAM
0x9425EB	Astra c8d87eba	0x46D896	FUN_0046d7d0	PARAM
0x9425EB	Astra c8d87eba	0xAFF310		DATA
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A1F0C	FUN_004a1c00	DATA
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A1F20	FUN_004a1c00	PARAM
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A1F53	FUN_004a1c00	PARAM
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A1FA6	FUN_004a1c00	PARAM
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A18FD		DATA
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A1934		PARAM
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A1A38		PARAM
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0x4A239B		DATA
0x9425FA	%a, %d %b %Y %H:%M:%S %Z	0xAFF318		DATA
0x942613	[%s] %s	0x43326E	FUN_004331f0	DATA
0x94261B	request timeout	0x4332FA	FUN_004332f0	DATA
